index,类别,基本分类,办理等级,办理部门,keywords,simwords
0,城市市容管理类,下水道堵塞或破损,A,社区,"['下水', '水道', '下水道', '堵塞', '破损']","['下水', '水道', '下水道', '堵塞', '破损']"
1,城市市容管理类,生活垃圾,A,社区,"['生活', '垃圾']","['生活', '垃圾']"
2,社会服务类,“三无”老人救助,A,社区,"['三无', '老人', '救助']","['三无', '老人', '救助']"
3,社会服务类,申办老年证,A,社区,"['申办', '老年', '证']","['申办', '老年', '证']"
4,社会服务类,残疾证申办,A,社区,"['残疾', '残疾证', '申办']","['残障', '病灶', '伤残', '身心障碍', '残疾人', '残疾', '残废', '病残', '暗疾', '固疾', '隐疾', '恶疾', '残疾人士', '癌症', '申办']"
5,社会服务类,计划生育政策落实问题,A,社区,"['计划', '生育', '计划生育', '政策', '落实']","['计划', '生育', '计划生育', '政策', '落实']"
6,社会服务类,邻里纠纷,A,社区,"['邻里', '纠纷', '邻里纠纷']","['邻里', '纠纷', '邻里纠纷']"
7,社会服务类,社区矫正,A,社区,"['社区', '矫正']","['社区', '矫正']"
8,社会服务类,恋爱、同居纠纷,A,社区,"['恋爱', '同居', '纠纷']","['谈恋爱', '相恋', '谈情说爱', '婚恋', '爱情', '恋情', '爱恋', '恋爱', '热恋', '恋', '私通', '姘居', '奸', '苟合', '通奸', '偷人', '通', '同居', '碴儿', '纠纷', '不和', '隙', '裂痕', '枝节', '隔膜', '冲突', '芥蒂', '争端', '失和', '疙瘩', '衅', '麻烦', '隔阂', '夙嫌', '嫌', '纠葛', '嫌隙']"
9,社会服务类,家庭纠纷,A,社区,"['家庭', '纠纷']","['家庭生活', '家庭关系', '家庭', '人家', '门', '家中', '家家', '家园', '家', '碴儿', '纠纷', '不和', '隙', '裂痕', '枝节', '隔膜', '冲突', '芥蒂', '争端', '失和', '疙瘩', '衅', '麻烦', '隔阂', '夙嫌', '嫌', '纠葛', '嫌隙']"
10,城市市容管理类,异味污染问题,B,街道、区环保局,"['异味', '污染']","['异味', '卤味', '野味', '腊味', '海味', '恶浊', '招', '脏乱', '水污染', '污染', '浑浊', '浊', '邋遢', '脏', '脏乱差', '秽', '龌龊', '污秽', '污', '滓', '染', '污迹', '传染', '传', '污浊', '脏乎乎', '肮脏', '印迹']"
11,城市市容管理类,粉尘污染问题,B,街道、区环保局,"['粉尘', '污染']","['矿尘', '黄埃', '尘烟', '沙尘', '煤尘', '灰渣', '黄尘', '烟尘', '宇宙尘', '秽土', '尘暴', '飘尘', '原子尘', '粉尘', '恶浊', '招', '脏乱', '水污染', '污染', '浑浊', '浊', '邋遢', '脏', '脏乱差', '秽', '龌龊', '污秽', '污', '滓', '染', '污迹', '传染', '传', '污浊', '脏乎乎', '肮脏', '印迹']"
12,城市市容管理类,电磁辐射污染问题,B,区环保局,"['电磁', '辐射', '电磁辐射', '污染']","['电磁力', '电磁学', '电磁', '辐射', '辐照', '电磁辐射', '贯穿辐射', '光辐射', '核辐射', '恶浊', '招', '脏乱', '水污染', '污染', '浑浊', '浊', '邋遢', '脏', '脏乱差', '秽', '龌龊', '污秽', '污', '滓', '染', '污迹', '传染', '传', '污浊', '脏乎乎', '肮脏', '印迹']"
13,城市市容管理类,建筑垃圾,B,街道,"['建筑', '垃圾']","['建筑', '垃圾']"
14,城市市容管理类,商业噪音问题,B,街道,"['商业', '噪音']","['经贸', '商业', '小本生意', '商业贸易', '商务', '商贸', '小本经营', '生意', '买卖', '商', '小买卖', '杂音', '噪声', '噪音']"
15,城市市容管理类,生活噪声问题,B,区公安分局,"['生活', '噪声']","['存', '安身立命', '光景', '活', '日子', '过日子', '生', '小日子', '过活', '健在', '衣食住行', '起居', '劳动', '度日', '社会生活', '安家立业', '生存', '活着', '生活', '在', '在世', '食宿', '吃饭', '活计', '活路', '活儿', '饮食起居', '体力劳动', '光阴', '杂音', '噪声', '噪音']"
16,城市市容管理类,工业噪声问题,B,街道、区城管执法局,"['工业', '噪声']","['工业', '噪声']"
17,城市市容管理类,私搭乱建,B,街道,['私搭乱建'],['私搭乱建']
18,城市市容管理类,占道经营,B,街道,"['占', '道', '经营']","['占', '道', '经营']"
19,城市市容管理类,油烟污染,B,街道,"['油烟', '污染']","['烽烟', '炊烟', '风烟', '香烟', '夕烟', '抽油烟机、排油烟机', '煤烟', '松烟', '硝烟滚滚', '油烟机', '吸油烟机', '烟云', '硝烟', '烟硝', '油烟', '恶浊', '招', '脏乱', '水污染', '污染', '浑浊', '浊', '邋遢', '脏', '脏乱差', '秽', '龌龊', '污秽', '污', '滓', '染', '污迹', '传染', '传', '污浊', '脏乎乎', '肮脏', '印迹']"
20,城市市容管理类,工地噪音,B,区城管执法局、区环保局,"['工地', '噪音']","['工地', '噪音']"
21,城市市容管理类,路面破损,B,街道、区城管执法局,"['路面', '破损']","['河面', '屋面', '抛物面', '地面', '洋面', '海面', '海水面', '湖面', '水面', '冰面', '扇面', '叶面', '单面', '路面', '桥面', '破败', '褴褛', '麻花', '敝', '破烂儿', '烂乎乎', '破烂不堪', '破烂', '破绽', '破', '千疮百孔', '烂', '破碎', '百孔千疮', '破破烂烂', '破损', '败', '破相']"
22,城市市容管理类,道路不洁,B,街道,"['道路', '不洁']","['路途', '道路', '马路', '蹊', '征程', '路', '道', '通衢', '路径', '途', '程', '衢', '馗', '途程', '征途', '径']"
23,城市市容管理类,公厕管理问题,B,区城管执法局,['公厕'],"['女厕', '公厕', '男厕', '洗漱间']"
24,城市市容管理类,街道“三乱”,B,街道,"['街道', '三乱']","['马路', '大街', '街道办', '逵', '街办', '街道', '街', '街道办事处']"
25,城市市容管理类,违规占用、挖掘道路,B,街道,"['违规', '占用', '挖掘', '道路']","['违规', '占用', '挖掘', '道路']"
26,城市市容管理类,焚烧垃圾,B,街道,"['焚烧', '垃圾']","['燃烧', '灼', '点燃', '着', '燃', '焚烧', '焚', '火三角', '燔', '烧', '废料', '滓', '排泄物', '下脚', '垃圾', '破铜烂铁', '污染源', '垃圾堆', '破烂', '废品', '渣滓', '废弃物', '废物', '渣', '污物', '杂质']"
27,城市市容管理类,擅自饲养家禽家畜,B,街道,"['擅自', '饲养', '家禽', '家畜', '家禽家畜']","['擅自', '饲养', '家禽', '家畜', '家禽家畜']"
28,城市市容管理类,河堤破损,B,区水务局,"['河堤', '破损']","['河堤', '破损']"
29,城市市容管理类,江滩维护管理,B,区水务局,"['江滩', '维护']","['保障', '掩护', '卫护', '护卫', '护', '保护', '保安', '维护']"
30,城市市容管理类,违法填湖,B,区水务局、区城管执法局,"['违法', '填湖']","['犯罪', '图谋不轨', '作案', '犯法', '违法', '玩火', '以身试法', '作奸犯科', '犯案', '不轨', '违法乱纪', '违纪', '冒天下之大不韪']"
31,城市市容管理类,其它市容环境管理问题,B,街道,"['市容', '环境']","['市容', '镇容', '矿容', '院容', '条件', '环境']"
32,城市市容管理类,广告牌管理,B,街道,"['广告', '广告牌']","['海报', '广告辞', '广告', '广告牌', '标语牌', '看板', '记分牌', '馆牌', 'Billboard', '黄牌', '粉牌', '铭牌', '警示牌', '标价牌', '告示牌', '纪念牌', '免战牌', '银牌', '名牌', '匾牌', '招牌', '红牌', '光荣牌', '门牌', '宣传牌', '倒计时牌', '车牌', '水牌', '服务牌', '金牌', '铜牌', '标志牌', '行李牌', '揭牌', '品牌', '木牌', '校牌', '奖牌']"
33,城市市容管理类,市政公园、道路、桥梁、绿地、照明设施,B,街道、区城管执法局,"['市政', '公园', '道路', '桥梁', '绿地', '照明', '设施']","['市政', '公园', '道路', '桥梁', '绿地', '照明', '设施']"
34,城市市容管理类,泥头车违规,B,区城管执法局,"['泥头车', '违规']","['违宪', '违例', '违规', '违心', '违纪']"
35,城市市容管理类,环卫设施,B,街道、区城管执法局,"['环卫', '设施']","['公共卫生', '环卫', '个人卫生', '环境卫生', '设施', '装具', '装置', '配备', '装备', '设备']"
36,城市市容管理类,垃圾填埋场安全,B,区城管执法局,"['垃圾', '填埋', '填埋场', '安全']","['垃圾', '填埋', '填埋场', '安全']"
37,城市市容管理类,街头散发小广告,B,街道,"['街头', '散发', '小', '广告']","['街头', '散发', '小', '广告']"
38,城市市容管理类,灯箱、霓虹灯破损,B,街道、区城管执法局,"['灯箱', '霓虹', '霓虹灯', '破损']","['灯箱', '霓虹', '霓虹灯', '破损']"
39,城市市容管理类,积水问题,B,区水务局,['积水'],"['积水', '沥水']"
40,城市市容管理类,水污染问题,B,区水务局、区环保局,"['污染', '水污染']","['污染', '水污染']"
41,食品药品及医疗卫生管理类,化妆品问题,B,区市场监管局,"['化妆', '化妆品']","['化妆', '妆饰', '美容', '打扮', '易服', '美发', '变装', '易装', '化装', '妆', '化妆品', '彩妆', '装扮', '彩妆', '化妆', '脂粉', '化妆品']"
42,食品药品及医疗卫生管理类,医药收费问题,B,区卫健局,"['医药', '收费']","['成药', '内服药', '新药', '镇静药', '药物', '眼药', '该药', '藏药', '疯药', '藏医药', '眼药水', '生药', '杀虫药', '急救药', '麻醉药', '名药', '假药', '中成药', '名医药', '纯中药', '怀药', '仙丹', '感冒药', '止痛药', '良药', '农药', '中西药', '退热药', '泻药', '末药', '西药', '灵药', '狗皮膏药', '医药', '凉药', '收贷', '收费', '收款']"
43,食品药品及医疗卫生管理类,院前急救,B,区卫健局,"['院前', '急救']","['急诊', 'First-aid', '抢救', '救治', '急救', '救护']"
44,食品药品及医疗卫生管理类,食品卫生问题,B,区市场监管局,"['食品', '卫生', '食品卫生']","['食品', '食物', '食', '熟食', 'Food', '菜肴', '清新', '干净', '净', '净空', '明窗净几', '洁净', '保健', '窗明几净', '卫生', '干干净净', '一尘不染', '白净净', '公共卫生', '清清爽爽', '洁', '整洁', '清洁', '净化', '无污染', '清爽', '清爽爽']"
45,食品药品及医疗卫生管理类,食品生产和加工及相关产品问题,B,区市场监管局,"['食品', '生产', '加工', '产品']","['食品', '食物', '食', '熟食', 'Food', '菜肴', '核心', '出', '生育', '生产', '制造', '内核', '生', '添丁', '推出', '生养', '出产', '搞出', '生产要素', '养', '产', '生儿育女', '盛产', '加工', '必要产品', '出品', '制品', '活', '成品', '产品']"
46,食品药品及医疗卫生管理类,非法鉴定胎儿性别,B,区卫健局,"['非法', '鉴定', '胎儿', '性别']","['非法', '鉴定', '胎儿', '性别']"
47,食品药品及医疗卫生管理类,流动人口孕情问题,B,街道、区卫健局,"['流动', '动人', '人口', '流动人口', '孕情']","['流动', '动人', '人口', '流动人口', '孕情']"
48,食品药品及医疗卫生管理类,无证行医,B,区卫健局,"['无证', '行医']","['从医', '行医', '救死扶伤']"
49,食品药品及医疗卫生管理类,无证经营药品,B,区市场监管局,"['无证', '经营', '药品']","['管', '经营', '管治', '经', 'Marketing', '市场学', '治理', '治治', '问', '管事', '销售', '市场营销', '管管', '掌', '经理', '行销学', '理', '市场行销', '经纪', '掌管', '管理', '营销', '营', '药物治疗', '药物', '药石', '药品', '药', '药味', '药料']"
50,食品药品及医疗卫生管理类,非法回收药品,B,区市场监管局,"['非法', '回收', '药品']","['非法', '回收', '药品']"
51,食品药品及医疗卫生管理类,销售假冒伪劣药品,B,区市场监管局,"['销售', '假冒', '伪劣', '假冒伪劣', '药品']","['销售', '假冒', '伪劣', '假冒伪劣', '药品']"
